,fe,description
0,https://w3id.org/framester/framenet/abox/gfe/Abundant_entities,Entities that are present in large quantities or in abundance within an event or context.
1,https://w3id.org/framester/framenet/abox/gfe/Accessory,"clothing that is worn or carried, but not part of your main clothing"
2,https://w3id.org/framester/framenet/abox/gfe/Accuracy,the quality of being near to the true value
3,https://w3id.org/framester/framenet/abox/gfe/Action,something done (usually as opposed to something said)
4,https://w3id.org/framester/framenet/abox/gfe/Activity,any specific behavior
5,https://w3id.org/framester/framenet/abox/gfe/Actor,a theatrical performer
6,https://w3id.org/framester/framenet/abox/gfe/Added_set,A collection of elements or entities that are introduced or included in a situation or process.
7,https://w3id.org/framester/framenet/abox/gfe/Addictant,An entity that causes or contributes to addiction or dependency within a scenario.
8,https://w3id.org/framester/framenet/abox/gfe/Address,(computer science) the code that identifies where a piece of information is stored
9,https://w3id.org/framester/framenet/abox/gfe/Addressee,one to whom something is addressed
10,https://w3id.org/framester/framenet/abox/gfe/Adequacy,the quality of being able to meet a need satisfactorily:
11,https://w3id.org/framester/framenet/abox/gfe/Affected_party,The entity directly impacted or influenced by an event or action.
12,https://w3id.org/framester/framenet/abox/gfe/Affliction,a state of great suffering and distress due to adversity
13,https://w3id.org/framester/framenet/abox/gfe/Age,how long something has existed
14,https://w3id.org/framester/framenet/abox/gfe/Agent,an active and efficient cause; capable of producing a certain effect
15,https://w3id.org/framester/framenet/abox/gfe/AggregateProperty, A characteristic or attribute that results from the combination or summation of individual components or entities.
16,https://w3id.org/framester/framenet/abox/gfe/Agreement,the statement (oral or written) of an exchange of promises
17,https://w3id.org/framester/framenet/abox/gfe/Ailment,an often persistent bodily disorder or disease; a cause for complaining
18,https://w3id.org/framester/framenet/abox/gfe/Alignment_mismatch,"A situation where elements or components do not align or correspond correctly, creating inconsistencies or conflicts."
19,https://w3id.org/framester/framenet/abox/gfe/Allowed_category,A classification of elements or actions that are permitted within a given context or framework.
20,https://w3id.org/framester/framenet/abox/gfe/Amount_of_discussion,"The extent or degree of verbal exchange in an event or process, often measured by quantity or intensity."
21,https://w3id.org/framester/framenet/abox/gfe/Amount_of_information,The total quantity of information conveyed or shared within a given context.
22,https://w3id.org/framester/framenet/abox/gfe/Amount_of_work,"The total effort, tasks, or activities required or performed within an event or process."
23,https://w3id.org/framester/framenet/abox/gfe/Anchor,a mechanical device that prevents a vessel from moving
24,https://w3id.org/framester/framenet/abox/gfe/Angle,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
25,https://w3id.org/framester/framenet/abox/gfe/Appraisal,the classification of someone or something with respect to its worth
26,https://w3id.org/framester/framenet/abox/gfe/Area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
27,https://w3id.org/framester/framenet/abox/gfe/Artifact,a man-made object taken as a whole
28,https://w3id.org/framester/framenet/abox/gfe/Artist,a person whose creative work shows sensitivity and imagination
29,https://w3id.org/framester/framenet/abox/gfe/Asset,a useful or valuable quality
30,https://w3id.org/framester/framenet/abox/gfe/Assets,anything of material value or usefulness that is owned by a person or company
31,https://w3id.org/framester/framenet/abox/gfe/Attachment,a feeling of affection for a person or an institution
32,https://w3id.org/framester/framenet/abox/gfe/Attack,(military) an offensive against an enemy (using weapons)
33,https://w3id.org/framester/framenet/abox/gfe/Attacked,launch an attack or assault on; begin hostilities or start warfare with
34,https://w3id.org/framester/framenet/abox/gfe/Attribute,a construct whereby objects or individuals can be distinguished
35,https://w3id.org/framester/framenet/abox/gfe/Audience,a gathering of spectators or listeners at a (usually public) performance
36,https://w3id.org/framester/framenet/abox/gfe/Authenticity,undisputed credibility
37,https://w3id.org/framester/framenet/abox/gfe/Authorities,the organization that is the governing authority of a political unit
38,https://w3id.org/framester/framenet/abox/gfe/Authority,the power or right to give orders or make decisions
39,https://w3id.org/framester/framenet/abox/gfe/Baggage,cases used to carry belongings when traveling
40,https://w3id.org/framester/framenet/abox/gfe/Barrier,a structure or object that impedes free movement
41,https://w3id.org/framester/framenet/abox/gfe/Base_position,"The starting or reference point from which further actions, decisions, or measurements are made."
42,https://w3id.org/framester/framenet/abox/gfe/Basis,a relation that provides the foundation for something
43,https://w3id.org/framester/framenet/abox/gfe/Basis_of_order,The fundamental principles or criteria that determine the organization or arrangement of elements within a system.
44,https://w3id.org/framester/framenet/abox/gfe/Behavior,manner of acting or controlling yourself
45,https://w3id.org/framester/framenet/abox/gfe/Beneficiary,the recipient of funds or other benefits
46,https://w3id.org/framester/framenet/abox/gfe/Binding_principle,A fundamental rule or law that imposes obligation or enforces certain actions within a given context.
47,https://w3id.org/framester/framenet/abox/gfe/Body_location,"The specific physical location or region of a body (human, animal, or other entity) within an event or situation."
48,https://w3id.org/framester/framenet/abox/gfe/Body_part,any part of an organism such as an organ or extremity
49,https://w3id.org/framester/framenet/abox/gfe/Boundary,the line or plane indicating the limit or extent of something
50,https://w3id.org/framester/framenet/abox/gfe/Business,a commercial or industrial enterprise and the people who constitute it
