,node,description
0,<http://dbpedia.org/resource/Jinan__PoliticalFunction__1>,Jinan  PoliticalFunction  1
1,<http://dbpedia.org/resource/William_I%252C_German_Emperor>,William I%2C German Emperor
2,<http://dbpedia.org/resource/Veracruz%2C_Veracruz>,"Veracruz, Veracruz"
3,<http://dbpedia.org/resource/Ey%25C3%25BCp_Sabri_Akg%25C3%25B6l>,Ey%C3%BCp Sabri Akg%C3%B6l
4,<http://dbpedia.org/resource/Poles__Sound__4>,Poles  Sound  4
5,<http://dbpedia.org/resource/Indonesia__HistoricalEvent__1>,Indonesia  HistoricalEvent  1
6,<http://dbpedia.org/resource/Torne_%2528river%2529>,Torne %28river%29
7,<http://dbpedia.org/resource/Orders%252C_decorations%252C_and_medals_of_the_Socialist_Federal_Republic_of_Yugoslavia>,Orders%2C decorations%2C and medals of the Socialist Federal Republic of Yugoslavia
8,<http://dbpedia.org/resource/Aizputes_apri%25C5%2586%25C4%25B7is>,Aizputes apri%C5%86%C4%B7is
9,<http://dbpedia.org/resource/Porfirio_D%C3%ADaz__Tenure__6>,Porfirio Díaz  Tenure  6
10,<http://dbpedia.org/resource/Sekula_Drljevi%C4%87__Tenure__2>,Sekula Drljević  Tenure  2
11,<http://dbpedia.org/resource/K%C3%A4m%C3%A4r%C3%A4>,Kämärä
12,<http://dbpedia.org/resource/Jos%25C3%25A9_Manuel_Pando>,Jos%C3%A9 Manuel Pando
13,<http://dbpedia.org/resource/File:Flag_of_Greece_%281821%29.svg>,File:Flag of Greece (1821).svg
14,<http://dbpedia.org/resource/Iloilo__PoliticalFunction__2>,Iloilo  PoliticalFunction  2
15,<http://dbpedia.org/resource/Gmina_Rajgr%25C3%25B3d>,Gmina Rajgr%C3%B3d
16,<http://dbpedia.org/resource/Pierre_Trudeau__Tenure__6>,Pierre Trudeau  Tenure  6
17,<http://dbpedia.org/resource/Bernardo_O%2527Higgins>,Bernardo O%27Higgins
18,<http://dbpedia.org/resource/Salvador%2C_Bahia__PoliticalFunction__1>,"Salvador, Bahia  PoliticalFunction  1"
19,<http://dbpedia.org/resource/M%25E1%25BA%25A1c_%25C4%2590%25C4%25A9nh_Chi_Cemetery>,M%E1%BA%A1c %C4%90%C4%A9nh Chi Cemetery
20,<http://dbpedia.org/resource/Battle_of_Trebbia_%25281799%2529>,Battle of Trebbia %281799%29
21,<http://dbpedia.org/resource/J%C4%93kabs_Peterss__Tenure__3>,Jēkabs Peterss  Tenure  3
22,<http://dbpedia.org/resource/Delhi__PoliticalFunction__3>,Delhi  PoliticalFunction  3
23,<http://dbpedia.org/resource/Ayuntamiento_%2528Spain%2529>,Ayuntamiento %28Spain%29
24,<http://dbpedia.org/resource/Angola__HistoricalEvent__2>,Angola  HistoricalEvent  2
25,<http://dbpedia.org/resource/Incorporation_of_Xinjiang_into_the_People%2527s_Republic_of_China>,Incorporation of Xinjiang into the People%27s Republic of China
26,<http://dbpedia.org/resource/Barack_Obama__Tenure__3>,Barack Obama  Tenure  3
27,<http://dbpedia.org/resource/Casablanca%252C_Chile>,Casablanca%2C Chile
28,<http://dbpedia.org/resource/Bernardo_de_Velasco__Tenure__1>,Bernardo de Velasco  Tenure  1
29,<http://dbpedia.org/resource/Ivan_Shakhovskiy>,Ivan Shakhovskiy
30,<http://dbpedia.org/resource/Bruno_Kreisky__Tenure__2>,Bruno Kreisky  Tenure  2
31,<http://dbpedia.org/resource/Severiano_Talamantes>,Severiano Talamantes
32,<http://dbpedia.org/resource/Grand_Duchess_Maria_Nikolaevna_of_Russia_%25281819%25E2%2580%25931876%2529>,Grand Duchess Maria Nikolaevna of Russia %281819%E2%80%931876%29
33,<http://dbpedia.org/resource/Battle_of_Pfeddersheim_%25281795%2529>,Battle of Pfeddersheim %281795%29
34,<http://dbpedia.org/resource/Danilo_Kalafatovi%25C4%2587>,Danilo Kalafatovi%C4%87
35,<http://dbpedia.org/resource/Biob%25C3%25ADo_Region>,Biob%C3%ADo Region
36,<http://dbpedia.org/resource/Jose_P._Laurel__Tenure__4>,Jose P. Laurel  Tenure  4
37,<http://dbpedia.org/resource/Alexander_Haig__MilitaryService__1>,Alexander Haig  MilitaryService  1
38,<http://dbpedia.org/resource/Macedonians_%2528ethnic_group%2529>,Macedonians %28ethnic group%29
39,<http://dbpedia.org/resource/Abu_Bakr_al-Baghdadi__Tenure__1>,Abu Bakr al-Baghdadi  Tenure  1
40,<http://dbpedia.org/resource/Anthony_Eden__Tenure__5>,Anthony Eden  Tenure  5
41,<http://dbpedia.org/resource/Nicol%C3%A1s_Bravo__Tenure__3>,Nicolás Bravo  Tenure  3
42,<http://dbpedia.org/resource/Tomo_Milinovi%25C4%2587>,Tomo Milinovi%C4%87
43,<http://dbpedia.org/resource/Bag%25C3%25A9>,Bag%C3%A9
44,<http://dbpedia.org/resource/Jazzar_Pasha__Tenure__4>,Jazzar Pasha  Tenure  4
45,<http://dbpedia.org/resource/John_Adams__Tenure__4>,John Adams  Tenure  4
46,<http://dbpedia.org/resource/Giulio_Andreotti__Tenure__2>,Giulio Andreotti  Tenure  2
47,<http://nl.dbpedia.org/resource/VN-vredesmacht>,VN-vredesmacht
48,<http://dbpedia.org/resource/Anglo-Spanish_War_%25281727%25E2%2580%25931729%2529>,Anglo-Spanish War %281727%E2%80%931729%29
49,<http://dbpedia.org/resource/Battle_of_Suixian%25E2%2580%2593Zaoyang>,Battle of Suixian%E2%80%93Zaoyang
50,<http://dbpedia.org/resource/Ottoman_Egypt>,Ottoman Egypt
51,<http://dbpedia.org/resource/Japan__HistoricalEvent__1>,Japan  HistoricalEvent  1
52,<http://dbpedia.org/resource/Nueva_Ecija__PoliticalFunction__1>,Nueva Ecija  PoliticalFunction  1
53,<http://dbpedia.org/resource/Battle_of_M%25C3%25BCnchengr%25C3%25A4tz>,Battle of M%C3%BCnchengr%C3%A4tz
54,<http://dbpedia.org/resource/Ahmed_Hassan_al-Bakr__Tenure__6>,Ahmed Hassan al-Bakr  Tenure  6
55,<http://dbpedia.org/resource/Battles_of_Bato%25C4%258Dina_and_Jagodina>,Battles of Bato%C4%8Dina and Jagodina
56,<http://dbpedia.org/resource/Lloyd_Austin__Tenure__3>,Lloyd Austin  Tenure  3
57,<http://dbpedia.org/ontology/Criminal>,Criminal
58,<http://dbpedia.org/resource/W%C5%82adys%C5%82aw_Gomu%C5%82ka__Tenure__1>,Władysław Gomułka  Tenure  1
59,<http://dbpedia.org/resource/John_J._Pershing__Sound__1>,John J. Pershing  Sound  1
60,<http://dbpedia.org/resource/H%25C3%25A9lie_de_Saint_Marc>,H%C3%A9lie de Saint Marc
61,<http://dbpedia.org/resource/%25C3%258Elham_Ehmed>,%C3%8Elham Ehmed
62,<http://dbpedia.org/resource/Walther_von_Brauchitsch__MilitaryService__1>,Walther von Brauchitsch  MilitaryService  1
63,<http://dbpedia.org/resource/Nam_Ph%25C6%25B0%25C6%25A1ng>,Nam Ph%C6%B0%C6%A1ng
