,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
0,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,transductive_train,1,1,1,0,hyper_relational_rdf_star,1136054,176,5190435,3.7118676832010526e-14,2261082,704829,43.18428314107232,1.9965209949582334,696.4713438735178,1.0,1.8652832875059213
1,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_train,1,1,1,0,hyper_relational_rdf_star,159001,112,331643,9.091977030481029e-12,273050,57275,27.11843152866242,1.7386138866556922,76.36666666666666,1.0,1.4332724406296138
2,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_val,1,1,1,0,hyper_relational_rdf_star,68983,5,56466,3.1363603322935634e-10,28042,28424,5.7663993419699775,1.0832464171205625,42.74285714285714,1.0,1.2646378359138637
3,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_ts,1,1,1,0,hyper_relational_rdf_star,24202,6,19472,2.637417467822663e-09,9711,9761,5.10031512605042,1.0937042459736457,18.62786259541985,1.0,1.264050764050764
4,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,transductive_train,1,1,0,1,hyper_relational_rdf_star,24097,177,73725,1.839799250304803e-10,69953,2054,2.9473138059525494,6.806012416948045,9.336363636363636,1.0,1.365691489361702
5,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_train,1,1,0,1,hyper_relational_rdf_star,5206,113,10413,9.222491491306295e-09,10078,267,2.21141796240427,5.25303197353914,2.4953271028037385,1.0,1.224770642201835
6,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_val,1,1,0,1,hyper_relational_rdf_star,623,6,458,4.767262256631262e-06,349,109,1.0838509316770186,3.561224489795918,1.847457627118644,1.0,1.1122448979591837
7,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,1,1,0,1,hyper_relational_rdf_star,359,7,243,1.6935087808430286e-05,172,71,1.162162162162162,2.4571428571428573,1.4791666666666667,1.0,1.109375
8,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,transductive_train,0,1,0,1,hyper_relational_rdf_star,10473,8,25207,1.5738294845052623e-09,21435,2054,2.9669112557109236,2.3362040771830372,9.336363636363636,1.0,1.365691489361702
9,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_train,0,1,0,1,hyper_relational_rdf_star,2146,9,3485,8.233688548380125e-08,3150,267,3.118811881188119,1.7403314917127073,2.592233009708738,1.0,1.1919642857142858
10,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_val,0,1,0,1,hyper_relational_rdf_star,642,6,458,4.767262256631262e-06,349,109,1.073846153846154,3.323809523809524,1.703125,1.0,1.1237113402061856
11,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,0,1,0,1,hyper_relational_rdf_star,356,7,242,1.7075336384126766e-05,171,71,1.14,2.5522388059701493,1.4489795918367347,1.0,1.1639344262295082
12,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_hyper_relational_rdf_star,transductive_train,0,0,1,1,hyper_relational_rdf_star,109592,8,286612,1.2173382288075352e-11,211034,66566,27.268897790412197,1.9437955935450593,88.16688741721855,1.0,1.9049881235154393
