,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
0,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,train.txt,1,1,0,1,simple_rdf_prop,23873,396,63701,2.46437900274557e-10,63701,0,2.418562642466991,8.318639053254438,0,0,0
1,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,valid.txt,1,1,0,1,simple_rdf_prop,3669,214,6691,2.2336644912189176e-08,6691,0,1.6756307180482395,8.325068870523417,0,0,0
2,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,test.txt,1,1,0,1,simple_rdf_prop,1558,151,2690,1.3819598955238318e-07,2690,0,1.6855600539811066,6.229426433915212,0,0,0
3,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,train.txt,1,0,0,1,simple_rdf_reification,8055,115,17411,3.298774045922715e-09,17411,0,2.170340136054422,6.745031712473573,0,0,0
4,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,valid.txt,1,0,0,1,simple_rdf_reification,1485,72,2462,1.6497719025367552e-07,2462,0,1.71875,6.2771739130434785,0,0,0
5,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,test.txt,1,0,0,1,simple_rdf_reification,1064,54,1672,3.577070122021016e-07,1672,0,1.7332613390928726,5.144230769230769,0,0,0
6,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,train.txt,1,0,1,1,simple_rdf_reification,906620,115,2385707,1.7569758429060952e-13,2385707,0,5.821401190528511,3.3572446422033853,0,0,0
7,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,valid.txt,1,0,1,1,simple_rdf_reification,140908,73,303719,1.0840668830053514e-11,303719,0,3.967573713927227,3.416046812580881,0,0,0
8,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,test.txt,1,0,1,1,simple_rdf_reification,81154,54,179224,3.1132046342440927e-11,179224,0,4.218933239138114,3.4733811554866225,0,0,0
9,simple-triple+text,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,train.txt,1,1,1,1,simple_rdf_reification,4073000,180,12858035,6.048543283531067e-15,12858035,0,11.267051512260815,3.6408372252210186,0,0,0
10,simple-triple+text,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,valid.txt,1,1,1,1,simple_rdf_reification,1428170,106,4040572,6.125115747292173e-14,4040572,0,9.047234607658492,3.8774743352503513,0,0,0
11,simple-triple+text,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,test.txt,1,1,1,1,simple_rdf_reification,381968,72,864437,1.3382378376712944e-12,864437,0,4.916992381960209,3.8076157160605875,0,0,0
12,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,train.txt,1,1,0,0,simple_rdf_prop,18947,174,56782,3.1015488749248694e-10,56782,0,2.6912791966819474,10.76511678672779,0,0,0
13,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,valid.txt,1,1,0,0,simple_rdf_prop,2938,100,5786,2.9870544643978355e-08,5786,0,1.7868567454798332,11.600451467268623,0,0,0
14,simple-triple+text,kg_base_prop_1_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,test.txt,1,1,0,0,simple_rdf_prop,1104,66,2139,2.1856389966955324e-07,2139,0,1.8976608187134503,8.539473684210526,0,0,0
15,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,train.txt,1,0,0,1,simple_rdf_sp,7565,235,15819,3.996151530245706e-09,15819,0,1.9537414965986395,7.658666666666667,0,0,0
16,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,valid.txt,1,0,0,1,simple_rdf_sp,1341,135,2157,2.1493132192005026e-07,2157,0,1.5470679012345678,7.3713235294117645,0,0,0
17,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,test.txt,1,0,0,1,simple_rdf_sp,919,110,1363,5.382800552705961e-07,1363,0,1.4727272727272727,6.084507042253521,0,0,0
18,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,train.txt,1,0,1,1,simple_rdf_sp,410491,1028,651274,2.357613005338396e-12,651274,0,2.3659834916566234,3.03579520768415,0,0,0
19,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,valid.txt,1,0,1,1,simple_rdf_sp,48999,725,75362,1.7607397506066102e-10,75362,0,2.2693944057210103,3.071676536655095,0,0,0
20,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,test.txt,1,0,1,1,simple_rdf_sp,26153,632,39808,6.31043478148489e-10,39808,0,2.219299715195175,3.0804588791566547,0,0,0
21,simple-triple+text,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,train.txt,0,0,0,1,simple_rdf_sp,3051,131,3633,7.576510060961358e-08,3633,0,1.300751879699248,4.050167224080267,0,0,0
22,simple-triple+text,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,valid.txt,0,0,0,1,simple_rdf_sp,515,73,565,3.132586733495184e-06,565,0,1.2098501070663812,3.304093567251462,0,0,0
23,simple-triple+text,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,test.txt,0,0,0,1,simple_rdf_sp,425,67,479,4.358418939945345e-06,479,0,1.2473958333333333,3.1103896103896105,0,0,0
