,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
0,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,train.csv,1,1,0,1,simple_rdf_prop,23877,396,70332,2.0215945827656656e-10,70332,0,2.7011825413889485,7.009931927240263,0,0,0
1,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_graph.csv,1,1,0,1,simple_rdf_prop,5063,255,9922,1.015784436890349e-08,9922,0,2.033289817232376,5.59245960502693,0,0,0
2,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_valid.csv,1,1,0,1,simple_rdf_prop,569,52,449,4.9602928556902e-06,449,0,1.0369515011547343,2.4010695187165774,0,0,0
3,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,inference_test.csv,1,1,0,1,simple_rdf_prop,293,34,229,1.9069049026525047e-05,229,0,1.0700934579439252,1.9741379310344827,0,0,0
4,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,train.csv,1,0,0,1,simple_rdf_reification,8060,115,20449,2.3914199620639006e-09,20449,0,2.5812372535690007,6.030813214739517,0,0,0
5,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,inference_graph.csv,1,0,0,1,simple_rdf_reification,2457,75,4567,4.794440979928121e-08,4567,0,2.172876304023845,4.409274193548387,0,0,0
6,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,inference_valid.csv,1,0,0,1,simple_rdf_reification,279,8,284,1.2398333663955564e-05,284,0,1.3990147783251232,3.55,0,0,0
7,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification,inference_test.csv,1,0,0,1,simple_rdf_reification,243,9,257,1.5140274644582053e-05,257,0,1.4770114942528736,3.2948717948717947,0,0,0
8,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,train.csv,1,0,1,1,simple_rdf_reification,906625,115,3292118,9.226759769914272e-14,3292118,0,8.034111301825568,3.642007269539655,0,0,0
9,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_graph.csv,1,0,1,1,simple_rdf_reification,215384,75,521154,3.681864903178255e-12,521154,0,6.051524698469423,2.406386439917353,0,0,0
10,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_valid.csv,1,0,1,1,simple_rdf_reification,71889,9,114449,7.634419063184528e-11,114449,0,2.74820506663465,3.160003313269645,0,0,0
11,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,inference_test.csv,1,0,1,1,simple_rdf_reification,41835,9,67984,2.1636478252106001e-10,67984,0,2.793212539545585,3.2339453905432403,0,0,0
12,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,train.csv,1,1,1,1,simple_rdf_reification,4073005,180,16931786,3.4881444248811127e-15,16931786,0,14.838063949904827,4.163600958510471,0,0,0
13,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,inference_graph.csv,1,1,1,1,simple_rdf_reification,1718406,116,4774958,4.3859218414194275e-14,4774958,0,10.26826300303013,2.7292711781435033,0,0,0
14,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,inference_valid.csv,1,1,1,1,simple_rdf_reification,721232,9,1598755,3.912336204382553e-13,1598755,0,5.016142594486731,3.820193978031116,0,0,0
