,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,MRR,H@1,H@3,H@10
0,0,0,0,1,simple_rdf_sp,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep10,42.8539,0.4417,0.3277,0.501,0.6566
2,0,0,0,1,simple_rdf_sp,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs128_ep1,358.31,0.1261,0.0501,0.1566,0.2724
3,0,1,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,806.1797,0.2743,0.2357,0.2871,0.3443
4,0,0,0,1,simple_rdf_prop,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs1024_ep1,809.0539,0.0215,0.0,0.0143,0.0605
5,0,0,0,1,simple_rdf_reification,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep10,152.2906,0.3438,0.2918,0.3725,0.4276
7,0,0,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,494.9213,0.1869,0.1466,0.1974,0.2677
8,0,1,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,736.4873,0.1088,0.05,0.1188,0.2359
9,1,0,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,615.3547,0.0634,0.0063,0.0631,0.1764
11,0,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,588.1308,0.0406,0.0,0.0341,0.1308
12,1,0,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,680.0919,0.0741,0.0347,0.0592,0.1716
